file,line,rule_name,category,status,note
wasm-3.0/2.1-validation.types.spectec,14,Numtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,17,Vectype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,20,Heaptype_ok/abs,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,23,Heaptype_ok/typeuse,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,27,Reftype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,31,Valtype_ok/num,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,35,Valtype_ok/vec,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,39,Valtype_ok/ref,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,43,Valtype_ok/bot,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,52,Resulttype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,56,Instrtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,71,Expand,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,73,Expand_use/deftype,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,74,Expand_use/typeidx,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,99,Typeuse_ok/typeidx,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,103,Typeuse_ok/rec,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,107,Typeuse_ok/deftype,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,112,Packtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,115,Storagetype_ok/val,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,119,Storagetype_ok/pack,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,123,Fieldtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,128,Comptype_ok/struct,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,132,Comptype_ok/array,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,136,Comptype_ok/func,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,142,Subtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,161,Subtype_ok2,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,171,Rectype_ok/empty,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,174,Rectype_ok/cons,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,179,Rectype_ok/_rec2,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,183,Rectype_ok2/empty,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,186,Rectype_ok2/cons,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,192,Deftype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,209,Limits_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,214,Tagtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,219,Globaltype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,223,Memtype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,227,Tabletype_ok,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,233,Externtype_ok/tag,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,237,Externtype_ok/global,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,241,Externtype_ok/mem,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,245,Externtype_ok/table,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.1-validation.types.spectec,249,Externtype_ok/func,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.2-validation.subtyping.spectec,13,Numtype_sub,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.2-validation.subtyping.spectec,16,Vectype_sub,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.2-validation.subtyping.spectec,20,Heaptype_sub/refl,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.2-validation.subtyping.spectec,23,Heaptype_sub/trans,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.2-validation.subtyping.spectec,29,Heaptype_sub/eq-any,OtherRelationRule,translated_auto_or_partial,
wasm-3.0/2.2-validation.subtyping.spectec,32,Heaptype_sub/i31-eq,OtherRelationRule,translated_auto_or_partial,
